"Country","Schooling","HIV.AIDS","Status","wateraccess","tuberculosis","inflation","healthexppercapita","fertilityrate","lifeexp","CO2","urbanpopgrowth","leastdeveloped"
"Ghana",11.7,0.8,"Developing","87.59999999999999",165,15.4896160333319,185.758675968,4.096,62.154,0.424594880140303,3.8649064195831,0
"Greece",17.2,0.1,"Developing","100",4.9,-1.31121050132494,2492.106188234,1.3,81.3853658536585,7.81355517349334,0.420875311277767,0
"Guatemala",10.7,0.4,"Developing","92.7",25,3.41836169662962,404.584284513,3.089,72.869,0.886768857900311,2.81326947172971,0
"Guinea",8.6,0.5,"Leastdeveloped","76.7",177,9.71397733405286,55.048124461,5.014,58.846,0.213027856575427,3.03937800614949,1
"Guinea-Bissau",9.2,3.4,"Leastdeveloped","77.40000000000001",369,-1.50924460570504,83.200282967,4.784,56.598,0.154661535263353,3.44591297644586,1
"Guyana",10.3,0.3,"Developing","97.5",89,0.852630497539925,267.05568639,2.559,66.425,2.24310140484864,-0.450938883027468,0
"Haiti",9.1,0.5,"Leastdeveloped","57.5",200,4.56617353058776,112.636797761,3.033,62.757,0.233358960367964,3.58369815644133,1
"Honduras",11.4,0.3,"Developing","90.59999999999999",40,6.12924930313027,328.19815163,2.559,73.181,1.03980612929296,3.29919426520678,0
"Hungary",15.8,0.1,"Developed","100",9.4,-0.227566270988384,1577.110157163,1.44,75.7634146341463,5.01656835186609,0.395542693320234,0
"Iceland",19,0.1,"Developed","100",2.8,2.04461481539337,3564.397552695,1.93,82.8609756097561,6.52279600055788,1.22204132213724,0
"India",11.6,0.2,"Developing","94.09999999999999",223,6.35319454414936,149.006222948,2.384,68.021,1.3918928846241,2.52556424097343,0
"Indonesia",12.9,0.3,"Developing","86.8",329,6.39492540819922,235.941602248,2.414,68.856,1.87999339520133,2.85266505916021,0
"Iraq",10.1,0.1,"Developing","86.59999999999999",43,2.23597407904723,372.923873027,4.476,69.458,3.88942153481222,3.00429761988249,0
"Ireland",18.6,0.1,"Developed","97.90000000000001",7.3,0.182542316627949,4297.743949699,1.89,81.3487804878049,8.83333477151607,1.69720693887506,0
"Israel",16,0.1,"Developing","100",5.2,0.485030941629033,2132.52567133,3.08,82.1536585365854,8.74815236561082,1.94862045481156,0
"Italy",16.3,0.1,"Developed","100",6.7,0.241047429826773,3030.625395885,1.37,83.090243902439,6.930315410316,0.765452999473231,0
"Jamaica",12.8,0.5,"Developing","93.8",3.8,8.2900057770075,400.14650684,2.047,75.689,3.13122739005756,0.842472672583391,0
"Japan",15.3,0.1,"Developed","100",18,2.76195408251338,3292.563704218,1.42,83.5878048780488,9.46081375567315,0.719842592041214,0
"Jordan",13.1,0.1,"Developing","96.90000000000001",5.5,2.89893170350572,744.409378528,3.506,74.034,3.20711121119745,6.03603541230465,0
"Kazakhstan",15,0.1,"Developing","92.90000000000001",91,6.84944977003356,583.338351691,2.74,71.62,14.1896512050927,1.53941143160731,0
"Kenya",11.1,2.9,"Developing","63.1",423,6.87815499275946,140.290659823,3.989,66.242,0.282840323640064,4.40182272183727,0
"Kiribati",11.9,0.1,"Leastdeveloped","66.8",469,2.10398520925043,193.654893445,3.731,65.949,0.583367220457176,3.52686281790789,1
"Kuwait",13,0.1,"Developing","99",22,2.90892672858618,2118.840509945,2.011,74.458,29.5786344251927,5.38312446600724,0
"Latvia",16,0.1,"Developed","99.3",42,0.620490636732377,1068.564179777,1.65,74.1243902439024,3.56292755175585,-1.25946316291147,0
"Lebanon",13.3,0.1,"Developing","99",14,1.85460421340917,1108.16825162,1.713,79.231,4.23604283612956,3.884981682648,0
"Lesotho",10.8,9.4,"Leastdeveloped","81.59999999999999",852,5.30649075574738,181.789188501,3.186,53.268,1.09760233819244,3.04471427392891,1
"Liberia",9.9,0.9,"Leastdeveloped","74.7",308,9.86111285574915,91.024498596,4.721,61.527,0.202538645470499,4.01404006638162,1
"Lithuania",16.5,0.1,"Developed","96.59999999999999",58,0.103789914462827,1321.98487095,1.63,74.5170731707317,4.40418012411218,-1.34291513608676,0
"Luxembourg",13.9,0.1,"Developed","100",5,0.628543985440705,5812.71389991,1.5,82.2292682926829,21.3740150438102,2.36381178731452,0
"Madagascar",10.3,0.3,"Leastdeveloped","50.6",235,6.08040811088298,67.475450431,4.303,65.133,0.104554029310104,4.83680128235684,1
"Malawi",10.7,5.1,"Leastdeveloped","88.40000000000001",227,23.7920649469687,80.38438149,4.74,61.932,0.0705365031866829,3.72698774343447,1
"Malaysia",13,0.1,"Developing","98.2",92,3.14299050879107,704.51427004,2.074,74.976,7.38467265884064,2.96278050607798,0
"Maldives",12.7,0.1,"Developing","98.59999999999999",39,2.12011310972349,1040.148762466,2.165,76.783,2.55574405616426,4.33382750060489,0
"Mali",8.2,1.6,"Leastdeveloped","75",58,0.883814547137875,84.360978508,6.231,57.007,0.0684996753909783,5.38938381998288,1
"Malta",14.3,0.1,"Developed","100",12,0.310306472181729,2382.188812261,1.38,82.0463414634146,6.13544465353012,0.897130803853611,0
"Mauritania",8.5,0.9,"Leastdeveloped","57.9",111,3.53436856147326,121.618506506,4.794,62.907,0.603783070510085,4.86295728850471,1
"Mauritius",14.7,0.1,"Developing","99.90000000000001",13,3.21769191994683,665.204439476,1.43,74.1943902439024,3.06151228025456,0.0549169745069406,0
"Mexico",13.1,0.1,"Developing","96.09999999999999",21,4.01861608078673,852.524933736,2.243,76.753,4.14103622775546,1.87944886949194,0
"Mongolia",14.8,0.1,"Developing","64.2",428,12.2254481191618,296.453602038,2.811,68.847,6.40419027410839,2.61686426098809,0
"Morocco",12.1,0.1,"Developing","85.3",101,0.442310053557051,348.559689525,2.555,75.309,1.68157725753529,2.26279365202176,0
"Myanmar",9.1,0.3,"Leastdeveloped","80.5",369,5.046410888458,83.38467545,2.256,66.285,0.258370729917553,1.42915217454333,1
"Namibia",11.7,2.2,"Developing","90.3",480,5.34952612752384,804.275846016,3.522,62.981,1.33409314622732,4.16212176254708,0
"Nepal",12.4,0.1,"Leastdeveloped","90.7",158,8.36415469659556,92.840064955,2.218,69.511,0.173226200966036,3.15543522106713,1
"Netherlands",18.1,0.1,"Developed","100",5.5,0.976035079699661,4530.35822709,1.71,81.7073170731707,10.5932872029779,1.30778855217498,0
"New Zealand",19.2,0.1,"Developed","100",7.5,1.22750750597405,2862.82016525,1.92,81.4048780487805,7.72281739912852,0.982969947385748,0
"Nicaragua",11.6,0.1,"Developing","86.90000000000001",55,6.03596861798431,279.862202082,2.264,74.884,0.80314644524531,1.58359383994629,0
"Niger",5.3,0.5,"Leastdeveloped","58.1",98,-0.930287259984461,53.368621955,7.338,59.228,0.0736074151928795,3.75812681959413,1
"Nigeria",10,3.9,"Developing","67.59999999999999",219,8.06248582444999,217.75298924,5.653,52.549,0.611271550409212,4.71525794296532,0
"Norway",17.7,0.1,"Developed","100",6.8,2.0417028670721,5148.876182034,1.75,82.1,10.3471580299499,1.53883989864175,0
"Oman",13.7,0.1,"Developing","93.40000000000001",10,1.02234314452965,1107.479478763,2.799,76.578,15.4718529034874,5.92111414524933,0
"Pakistan",7.8,0.1,"Developing","91.3",270,7.18938402847028,114.16212546,3.617,66.139,0.93271652275053,2.66060374923299,0
"Panama",13,0.1,"Developing","94.40000000000001",47,2.630931153512,1063.95690252,2.565,77.61,2.37765682010805,2.23350047451825,0
"Papua New Guinea",10,0.7,"Developing","40",432,5.22211720226844,80.604456711,3.759,65.23,0.74396408215903,2.19470742414681,0
"Paraguay",12.3,0.2,"Developing","96.59999999999999",39,5.0288276745676,446.112044541,2.542,72.913,0.771797338294681,1.92563168415728,0
"Peru",13.4,0.1,"Developing","86.3",121,3.24496304244158,450.717636172,2.456,74.518,1.66437789370709,1.60542457030749,0
"Philippines",11.7,0.1,"Developing","91.5",546,3.59782343864207,228.544919768,2.992,68.813,0.895285237896471,1.73816688319273,0
"Poland",16.4,0.1,"Developed","98.3",20,0.0538213132400467,1253.591968157,1.32,77.6024390243903,8.05771991406356,-0.2351360455786,0
"Portugal",16.8,0.1,"Developed","100",24,-0.278153367467421,2465.700135314,1.23,81.1219512195122,5.01150209212228,0.927707747606913,0
"Qatar",13.4,0.1,"Developing","100",23,3.35163873634386,2360.91459036,1.95,77.888,47.4888786526865,11.5884519427117,0
"Romania",14.7,0.1,"Developed","100",86,1.06830987684293,827.652101023,1.56,74.909756097561,4.22689617614978,-0.586077227193302,0
"Rwanda",10.8,0.4,"Leastdeveloped","75.5",63,2.35449052820364,112.054411632,4.058,66.188,0.0624327804153853,2.55447704545206,1
"Samoa",12.9,0.1,"Developing","99",14,-0.406816088424963,288.839978273,4.086,74.504,0.993790549551206,-0.409458258621261,0
"Sao Tome and Principe",11.1,0.2,"Leastdeveloped","97.09999999999999",145,6.99849943966418,191.581347246,4.578,66.361,0.55476651157448,4.07222946533509,1
"Saudi Arabia",15.8,0.1,"Developing","97",12,2.24185348779065,1809.069711025,2.635,74.234,17.7393733707876,3.0831293761747,0
"Senegal",9.1,0.3,"Leastdeveloped","77.8",134,-1.09025507446894,103.510715451,4.904,66.376,0.515641512410618,3.78738558574429,1
"Seychelles",13.2,0.1,"Developing","95.7",16,1.38583454581262,677.549353527,2.34,73.2292682926829,6.2242322584998,1.69669697347307,0
"Sierra Leone",9.5,0.6,"Leastdeveloped","61.6",310,4.64546204670158,154.296302645,4.672,50.951,0.129741770921636,3.63115119337798,1
"Singapore",15.4,0.1,"Developed","100",46,1.0249825282285,2287.167182855,1.25,82.4951219512195,8.42876226328245,2.72112442482559,0
"Slovenia",17.6,0.1,"Developed","99.5",7.9,0.199343826570849,2333.930528585,1.58,81.0780487804878,7.52590063742238,0.749146999318808,0
"Solomon Islands",9.6,0.1,"Leastdeveloped","80.7",75,5.16590237925174,135.950520021,3.968,70.113,0.360749739051274,4.56753390454285,1
"South Africa",13,3.7,"Developing","92.8",820,6.13602015113351,834.983896409,2.51,60.993,9.13842837843345,2.08912114540319,0
"Spain",17.6,0.1,"Developed","100",12,-0.150870313497969,2752.919984089,1.32,83.2292682926829,6.46682459256207,1.09637993395625,0
"Sri Lanka",14,0.1,"Developing","95.59999999999999",65,3.17900228236063,339.909756439,2.083,74.906,0.694503116575379,0.645096381653844,0
"Sudan",7.2,0.3,"Leastdeveloped","55.5",94,36.9066427863594,244.328074901,4.656,64.002,0.317127410007066,2.52857947006772,1
"Suriname",12.7,0.4,"Developing","94.8",33,3.38341272749481,803.678789793,2.421,71.138,3.73817439084801,0.945996182182373,0
"Sweden",15.8,0.1,"Developed","100",7.5,-0.17963849411465,3967.801126513,1.88,82.2536585365854,5.14965572636867,0.985510326946067,0
"Switzerland",15.9,0.1,"Developed","100",5.9,-0.0132291602454955,5726.447850717,1.54,83.1975609756098,5.05055581502127,1.05988433557894,0
"Tajikistan",11.3,0.2,"Developing","73.7",91,6.10442765129665,121.666036735,3.442,70.69,0.396057780957596,2.25294722375877,0
"Thailand",13.6,0.1,"Developing","97.8",167,1.89514181898786,446.596791351,1.512,74.895,4.09334611460942,3.11928096584378,0
"Timor-Leste",12.5,0.1,"Leastdeveloped","71.7",498,0.726275016139447,100.466939027,5.737,68.285,0.235105800493751,3.21242201327827,1
"Togo",12,1,"Leastdeveloped","62.4",58,0.190875076249778,66.418241896,4.586,59.601,0.326986100760752,3.97937412265894,1
"Tonga",14.3,0.1,"Developing","99.59999999999999",14,2.51087633253703,232.485122891,3.722,72.732,1.12919302188885,0.608145940683929,0
"Trinidad and Tobago",12.7,0.3,"Developing","95.09999999999999",21,5.68441814595665,1437.995562314,1.778,70.426,33.8405192740235,0.162760426180019,0
"Tunisia",14.7,0.1,"Developing","97.7",35,4.93773530263538,592.780766364,2.234,75.335,2.41778533607905,1.49080655432319,0
"Turkey",14.5,0.1,"Developing","100",20,8.85457271364318,853.360350398,2.09,75.239,4.10039026899441,2.22861724292522,0
"Uganda",10,3.2,"Developing","78.90000000000001",202,3.07570668958643,148.871010802,5.775,59.224,0.107385599700211,6.07061980747448,0
"Ukraine",15.2,0.2,"Developing","96.3",94,12.0718562874252,520.240403889,1.498,71.1865853658537,6.37358677108663,-0.269436609254584,0
"United Arab Emirates",13.3,0.1,"Developing","99.59999999999999",0.76,2.34626865671643,2131.819532344,1.783,76.948,21.6759816129143,8.38937390709719,0
"Uruguay",15.5,0.1,"Developing","99.59999999999999",29,8.87735333229828,1388.419887863,2.019,77.19,2.13384791963401,0.481700012435587,0
"Vanuatu",10.8,0.1,"Leastdeveloped","93.3",63,0.798863838096904,95.961042495,3.348,71.709,0.443224772213662,3.23577318664918,1
"Zambia",12.5,4.3,"Leastdeveloped","64.59999999999999",406,7.80687553566328,134.361800867,5.104,60.775,0.207792313971367,4.13769334983065,1
