Year,Company name, Number of single use plastic bags issued , Gross proceeds of charge (£) ,VAT (£),Costs deducted (£), Cost of changing till systems (£),Cost of staff communications (£),Cost of customer communications (£),Cost of obtaining advice on charge (£),Cost of administering donations (£),Other costs associated with implementing charge (£), Description of other costs, Net proceeds  (£) (Gross less VAT and costs) ,Use of net proceeds,Other use of net proceeds,Amount donated to good causes (£),Good causes in receipt of proceed donation,Number of paper bags issued,Number of bags for life,Any other information
2016-17,Bargain Booze,349795,17489.75,,No costs deducted from proceeds,0,0,0,0,0,0,,,Donated,,17489.75,Health,,,
2016-17,Barton Grange Group Ltd,104366,5218.3,866.45,No costs deducted from proceeds,0,0,0,0,0,0, ,4351.85,Donated, ,4352,Local causes chosen by customers or staff,,, 
2016-17,Bath & North East Somerset Council,33108,1655.4,275.9,No costs deducted from proceeds,0,0,0,0,0,0, ,1379.5,Donated, ,1380,"Arts,Heritage",,, 
2016-17,Beaverbrooks The Jewellers Ltd,1068,53.4,8.9,No costs deducted from proceeds,0,0,0,0,0,0, ,44.5,Donated, ,45,Local causes chosen by customers or staff,435710,,Provide paper bags FOC as standard and have plastic bags for protecting the paper ones if requested by customers. Plastic are charged at 5p each inc VAT 
2016-17,Bents Garden Centre Limited,32165,1608.25,266.97,No costs deducted from proceeds,0,0,0,0,0,0, ,1341.28,Donated, ,0,  ,,,
2016-17,Birds (Derby) Ltd,598162,29908.1,4985.66,No costs deducted from proceeds,0,0,0,0,0,0, ,24922.44,Donated, ,24922.44,Charity/Voluntary,,2738,
2016-17,Blackburn Rovers Football & Athletic Ltd,7154,357.7,71.54,No costs deducted from proceeds,0,0,0,0,0,0, ,286.16,Donated, ,286,"Charity/Voluntary,Local causes chosen by customers or staff",,, 
2016-17,Blackpool Pleasure Beach Ltd,30894,1544.7,257.45,No costs deducted from proceeds,0,0,0,0,0,0, ,1287.25,Donated, ,1545,Charity/Voluntary,,357,
2016-17,Blackwell UK Limited,238247,11897,1983,No costs deducted from proceeds,0,0,0,0,0,0, ,9914,Donated, ,0,  ,,, 
2016-17,A F Blakemore & Son Ltd,6439197,321959.85,53659.98,14586.64,0,0,0,0,14586.64,0,,253713.24,Donated,,253713.24,  ,,,
2016-17,Blue Cross,104455,5222.75,870.46,No costs deducted from proceeds,0,0,0,0,0,0,,4352.29,Retained by company,,0,Charity/voluntary,,,Retained by Blue Cross for charitable activities - animal welfare
2016-17,BMB Clothing Limited,119780,5989,994,No costs deducted from proceeds,0,0,0,0,0,0, ,4995,Donated, ,4995,Charity/Voluntary,119780,, 
2016-17,BOC Ltd,111,5.55,1.11,4.44,0,4.44,0,0,0,0, ,0,Retained by your company / organisation, no net proceeds after costs ,0,,,,
2016-17,"Bodleian Libraries, University of Oxford",6813,340.65,56.55,No costs deducted from proceeds,0,0,0,0,0,0, ,284.1,"Donated,Retained by your company / organisation", ,0,  ,,,All profits generated by the Bodleian Libraries shops are donated back to the Bodleian Libraries
2016-17,Bonmarche Limited,2141005,104311.44,17329.69,No costs deducted from proceeds,0,0,0,0,0,0, ,86981.75,Donated, ,86982,Charity/Voluntary,,, 
2016-17,Booker Retail Partners,503419,25170.95,4193.48,No costs deducted from proceeds,0,0,0,0,0,0, ,20977.47,Donated, ,19667,Local causes chosen by customers or staff,,,Data submitted  includes Budgens data
2016-17,Boux Avenue Limited,101283,6077,1013,No costs deducted from proceeds,0,0,0,0,0,0, ,5064,Donated, ,5064,Charity/Voluntary,,, 
2016-17,Bradfords Building Supplies Ltd,2542,127.1,25.18,No costs deducted from proceeds,0,0,0,0,0,0, ,101.92,Donated, ,102,Charity/Voluntary,,, Money donated to Macmillan charity
2016-17,Brighton & Hove Albion FC,16609,828.61,166.09,No costs deducted from proceeds,0,0,0,0,0,0, ,662.52,Donated, ,0,  ,,222, 
2016-17,Britannia Jinky Jersey Ltd,69101,3456.23,192.63,No costs deducted from proceeds,0,0,0,0,0,0, ,3263.6,Retained by your company / organisation, ,0,,,, 
2016-17,Brobot Petroleum Limited,86735,4336.75,722.79,No costs deducted from proceeds,0,0,0,0,0,0,,3613.96,,,,,,,
2016-17,Bryanston Conference Centre Limited,1198,59.9,11.91,No costs deducted from proceeds,0,0,0,0,0,0, ,47.99,Donated, ,,Education,,, 
2016-17,Butlins,434169,21567.7,3543.52,No costs deducted from proceeds,0,0,0,0,0,0, ,18024.18,Donated, ,21567,Charity/Voluntary,,34400, 
2016-17,C and J Clarks International,4173738,208686.93,41737.38,No costs deducted from proceeds,0,0,0,0,0,0, ,166949.55,Donated, ,166949,Charity/Voluntary,,, 
2016-17,C Brewer & Sons Ltd,22327,1116.35,223.27,No costs deducted from proceeds,0,0,0,0,0,0, ,893.08,Donated, ,893,Environment,,, 
2016-17,Cats Protection,101200,5060,843.33,No costs deducted from proceeds,0,0,0,0,0,0, ,4216.67,Retained by your company / organisation, ,4216,Charity/Voluntary,,, As we are a registered charity (203644) we have retained the income to apply to our charitable work. 
2016-17,Cavaghan & Gray Ltd,10969,548.45,91.4,No costs deducted from proceeds,0,0,0,0,0,0, ,457.05,Donated, Money was donated to Cumbria Wildlife Trust.,457,"Environment,Charity/Voluntary",,,
2016-17,CDS Superstores International LTD T/A The range,4410505,219999.77,36749.69,500,0,500,0,0,0,0, ,182750.08,Donated, ,182750,Local causes chosen by customers or staff,,, 
2016-17,Center Parcs,324070,18654,3003,No costs deducted from proceeds,0,0,0,0,0,0, ,15651,Donated,,18654,Charity/Voluntary,,, 
2016-17,Central England Co-Operative Limited,13620162,681013,110572,10500,0,0,0,0,10500,0, ,559941,Put to other uses (supply details below),Continuation of public access defibrillator roll out. ,504285,Health,,2618362,"Cost deducted are a contribution to the internal day to day costs of administering the distribution of the carrier bag levy and does not include management time.

"
2016-17,Charles Tyrwhitt Shirts Ltd,1116,55.8,9.3,No costs deducted from proceeds,0,0,0,0,0,0, ,46.5,Donated, ,47,Charity/Voluntary,,, 
2016-17,Chelmsford Star Co-operative Society Ltd,1196,59.8,11.47,No costs deducted from proceeds,0,0,0,0,0,0, ,48.33,Donated, ,0,  ,,1528335,Moved away from selling single use carrier bags.
2016-17,CHESTER ZOO ENTERPRISES LTD,12942,647.1,107.85,No costs deducted from proceeds,0,0,0,0,0,0, ,539.25,Donated, ,539,Charity/Voluntary,,22227," Donated to ""Act for Wildlife"""
2016-17,Choice Discount Stores Limited,615933,30796.65,5132.78,No costs deducted from proceeds,0,0,0,0,0,0, ,25663.87,Donated, ,25664,"Health,Charity/Voluntary,Local causes chosen by customers or staff",,,
2016-17,City of Bradford MDC,503,25.15,4.19,No costs deducted from proceeds,0,0,0,0,0,0, ,20.96,Donated, ,21,Local causes chosen by customers or staff,,, Proceeds donated to Lord Mayors Appeal
2016-17,Company Shop Ltd,573362,29352.7,4892.12,No costs deducted from proceeds,0,0,0,0,0,0, ,24460.58,Donated, ,10157,Local causes chosen by customers or staff,,, 
2016-17,Compass Group UK and Ireland Limited ,73074,3653.7,608.95,No costs deducted from proceeds,0,0,0,0,0,0, ,3044.75,Donated, ,3045,"Environment,Charity/Voluntary",,,
2016-17,Cook Trading Ltd,619360,30968,5161,No costs deducted from proceeds,0,0,0,0,0,0,,25807,Donated,,25807,charity/voluntary,,,
2016-17,Coopland and Son (Scarborough) Ltd,1165343,58267.15,9711.19,No costs deducted from proceeds,0,0,0,0,0,0, ,48555.96,Donated, ,48555,Charity/Voluntary,,,"Donations split evenly between Great North Air Ambulance, Lincolnshire and Nottingham Air Ambulance, and Yorkshire Air Ambulance."
2016-17,Countrywide Farmers PLC,39872,1993.6,332.14,No costs deducted from proceeds,0,0,0,0,0,0, ,1661.46,Donated, ,0,  ,,, 
2016-17,Courtesy Shoes Ltd,304176,15208.8,2534.8,No costs deducted from proceeds,0,0,0,0,0,0, ,12674,Donated, ,0,  ,,,
2016-17,Croydon Logistics Ltd,1253,62.65,12.53,No costs deducted from proceeds,0,0,0,0,0,0, ,50.12,Donated, ,63,Health,,, Donated to Look Good Feel Better
2016-17,CVS Group plc,1875,93.75,15.63,No costs deducted from proceeds,0,0,0,0,0,0, ,78.12,Donated, ,0,  ,,, 
2016-17,D J Squire & Co Ltd,96068,4803.4,800.57,No costs deducted from proceeds,0,0,0,0,0,0, ,4002.83,Donated, ,4002,Charity/Voluntary,,,
2016-17,Debenhams PLC,3876495,193824.75,32304.13,No costs deducted from proceeds,0,0,0,0,0,0, ,161520.62,Donated, ,161521,Charity/Voluntary,,11132476,"All proceeds are donated to the Debenhams Foundation. The Trustees of the Debenhams Foundation allocate the income received to support charities and good causes operating in England, Wales and Scotland. Further information on the activities of the Debenhams Foundation can be found at
http//sustainability.debenhamsplc.com/debenhams-foundation/"
2016-17,Decathlon,617887,35473,5912,No costs deducted from proceeds,0,0,0,0,0,0, ,29561,Retained by your company / organisation, Environmental association ,0,,,34736,Recyclable bag 24781. International green bag 11080. Reusable platic bags  6542. Brown wrapping paperbag 8913. 
2016-17,Deichmann Shoes UK Ltd,1888561,94428.07,18885.61,No costs deducted from proceeds,0,0,0,0,0,0, ,75542.46,Donated, ,0,  ,,,
2016-17,Diageo 7HQ,696,34.8,6.96,No costs deducted from proceeds,0,0,0,0,0,0, ,27.84,Donated, ,0,  ,,, 
2016-17,"Dickinson & Morris, part of the Samworth Brothers Group",23667,1183.36,197.54,No costs deducted from proceeds,0,0,0,0,0,0, ,985.82,Donated, ,986,Charity/Voluntary,,, 
2016-17,Direct Wines Limited,16052,802.6,133.77,No costs deducted from proceeds,0,0,0,0,0,0, ,668.83,Donated, ,669,Charity/Voluntary,,,Where possible customers are persuaded to purchase reusable jute eco bags or reuse cardboard wine boxes instead of plastic carrier bags.
2016-17,Disney Store Ltd ,1790297,89514.85,14919.14,No costs deducted from proceeds,0,0,0,0,0,0, ,74595.71,Donated, ,74595,Environment,1790297,,
2016-17,Dobbies Garden Centres,170742,8537.1,1707.42,No costs deducted from proceeds,0,0,0,0,0,0, ,6829.68,Donated, ,6894,"Charity/Voluntary,Local causes chosen by customers or staff",,,There is an imbalance of £65 between net proceeds and actual donations due to reporting periods being slightly different.
2016-17,Dunelm (Soft Furnishings) Ltd,1915951,95797.55,17325.75,No costs deducted from proceeds,0,0,0,0,0,0, ,78471.8,Donated, ,78471,Charity/Voluntary,,129931,
2016-17,Durham County Council,393,19.65,1.34,No costs deducted from proceeds,0,0,0,0,0,0, ,18.31,Donated, ,20,"Charity/Voluntary,Local causes chosen by customers or staff",,, 
2016-17,Duvetco Ltd,25523,1276.15,212.69,379.74,0,0,0,0,0,379.74, Administrative Costs £10.00 and Payroll costs £369.00,683.72,Retained by your company / organisation, ,0,,,, From June 2016 the Company has stopped using single-use carrier bags. 
2016-17,E H Booth & Co Limited,3232518,161660.3,26943.38,No costs deducted from proceeds,0,0,0,0,0,0, ,134716.92,Donated, ,0,  ,,, 
2016-17,Edmundson Electrical Ltd,12793,639.65,106.61,No costs deducted from proceeds,0,0,0,0,0,0, ,533.04,Donated, ,1000,Environment,,,Donated to the woodland trust for environmental reasons 
2016-17,Elim Trust Corperation,1431,71.55,10.52,52.6,0,52.6,0,0,0,0, ,8.43,"Donated,Retained by your company / organisation", ,0,  ,,, We are a group of churches and only a few use carrier bags in charity shops and one book shop hence the small amount reported. 
2016-17,Elior UK,150803,7542.54,1257.09,No costs deducted from proceeds,0,0,0,0,0,0, ,6285.45,Donated, ,6285,Charity/Voluntary,,, 
2016-17,Ellis Brigham Ltd,43934,2186.84,364.48,No costs deducted from proceeds,0,0,0,0,0,0, ,1822.36,Donated, ,2980,"Sport,Charity/Voluntary",,,"All proceeds from plastic bag sales have been donated to Disability Snowsports.  The donation of  £2,980 includes  total funds collected from all stores including Scotland and stores within other companies"
2016-17,Entertainment Magpie Ltd,185954,9298,1549.67,No costs deducted from proceeds,0,0,0,0,0,0, ,7748.33,Donated," Proceeds split between two charities, Challenge 4 Change and Teenage Cancer Trust.",7748,Local causes chosen by customers or staff,,, 
2016-17,Estee Lauder Cosmetics Limited,81878,4093.9,682.32,No costs deducted from proceeds,0,0,0,0,0,0, ,3411.58,Donated, ,4094,Charity/Voluntary,,, 
2016-17,ExtraCare Retail Limited,88981,4472.6,745.43,No costs deducted from proceeds,0,0,0,0,0,0, ,3727.17,Donated, ,3727,Charity/Voluntary,,, 
2016-17,Eyre & Elliston Ltd,231,11.55,1.92,No costs deducted from proceeds,0,0,0,0,0,0, ,9.63,Donated, ,50,Health,,, 
2016-17,F Hinds Ltd,83597,4179.85,696.37,No costs deducted from proceeds,0,0,0,0,0,0, ,3483.48,Donated," Donated to numerous local, staff nominated charitable causes throughout reporting period",3484,Local causes chosen by customers or staff,,, 
2016-17,Farmfoods Limited,12830360,641518,106920,10598,0,0,0,0,0,10598,Estimated nominal cost to company in relation to complying with the regulations and administering donations to good causes.,524000,Donated, ,0,  ,,, 
2016-17,Fenwick Limited,760128,38006.4,6335.67,No costs deducted from proceeds,0,0,0,0,0,0, ,31670.73,Donated, ,31671,Charity/Voluntary,,,
2016-17,Frozen Value Ltd,2158989,107949.45,17991.58,7427.44,0,1000,0,0,3500,2927.44,Stock shrinkage,82530.43,"Donated,Retained by your company / organisation", ,0,  ,,, 
2016-17,Game Retail Limited,1197353,59867.67,11973.52,No costs deducted from proceeds,0,0,0,0,0,0, ,47894.15,Donated, ,47894,Charity/Voluntary,,, 
2016-17,GAP Europe Limited,91605,4438,740,1,0,0,0,0,0,1, Administration,3697,Donated, ,3698,Charity/Voluntary,,, 
2016-17,Goddard Veterinary Group,18750,937.5,156.25,No costs deducted from proceeds,0,0,0,0,0,0, ,781.25,Donated, ,781,Local causes chosen by customers or staff,,, 
2016-17,Grabal Alok UK Limited,1431335,71566.75,11927.79,No costs deducted from proceeds,0,0,0,0,0,0, ,59638.96,Retained by your company / organisation, ,0,,1431335,, 
2016-17,Grafton Merchanting GB Ltd,17257,862.85,143.81,No costs deducted from proceeds,0,0,0,0,0,0, ,719.04,Donated,,719,Charity/Voluntary,,,
2016-17,Grainger Games Limited,104425,5263,877,No costs deducted from proceeds,0,0,0,0,0,0, ,4386,Donated, ,0,  ,,, 
2016-17,Greenhalgh's Craft Bakery Ltd,325926,16296.3,2716.05,No costs deducted from proceeds,0,0,0,0,0,0, ,13580.25,Donated, ,13580,"Charity/Voluntary,Local causes chosen by customers or staff",4344251,6343, 
2016-17,Greenwoods Menswear Limited,247266,12363.3,2060.55,No costs deducted from proceeds,0,0,0,0,0,0, ,10302.75,Donated, Donation to NSPCC,0,  ,,, 
2016-17,Greggs plc,15438957,771948,128658,No costs deducted from proceeds,0,0,0,0,0,0, ,643290,Donated," Proceeds were donated to the Greggs Foundation for use within their Environmental Grant Making programme which supports environmental improvements across local communities. In addition, funds were donated to Keep Britain Tidy to further support their work and research into reducing litter and to Surfers Against Sewage to support their work in reducing beach and marine litter ",643290,Environment,,,
2016-17,Guild Care,6490,333.91,0,No costs deducted from proceeds,0,0,0,0,0,0, ,333.91,Retained by your company / organisation, ,334,Charity/Voluntary,6490,," As a charity organisation,  the proceeds were retained and put towards our charitable causes."
2016-17,H&M Hennes & Mauritz UK and Ireland Ltd,18656176,932808.8,151775.28,No costs deducted from proceeds,0,0,0,0,0,0,,781033.52,Donated,,781033.62,  ,,,
2016-17,H.I. Weldrick Ltd.,16819,840.95,140.16,150.48,0,0,0,0,0,150.48, Reporting and verification,550.31,Donated, ,550,Charity/Voluntary,,,£550.31 donated to Bluebell Wood
2016-17,Halfords Group plc,383035,18221.95,3036.99,4264.18,0,0,0,0,0,4264.18,Production costs ,10920.78,Donated, ,0,  ,,, 
2016-17,Haskins Garden Centres LTD,58585,2929.25,488.21,No costs deducted from proceeds,0,0,0,0,0,0, ,2441.04,Donated, ,0,  ,,, 
2016-17,Haven Holidays,1051459,52572.97,8762.16,No costs deducted from proceeds,0,0,0,0,0,0, ,43810.81,Donated, ,43811,Environment,,, 
2016-17,Heart of England Co-operative Society Limited,1508713,75619,12603,No costs deducted from proceeds,0,0,0,0,0,0, ,63016,Donated, ,63016,"Education,Environment,Health,Charity/Voluntary,Local causes chosen by customers or staff",,, 
2016-17,Heathcoat Fabrics Limited,600,30,6,No costs deducted from proceeds,0,0,0,0,0,0, ,24,Donated, ,0,  ,,, 
2016-17,Helston Garages Ltd,4353,217.65,36.27,No costs deducted from proceeds,0,0,0,0,0,0, ,181.38,Donated, ,181,Charity/Voluntary,,,
2016-17,HHGL Limited,833228,45507.59,8912.32,No costs deducted from proceeds,0,0,0,0,0,0, ,36595.27,Donated, ,36595,Charity/Voluntary,,, 
2016-17,Hidden Hearing Ltd,5546,277.31,46.22,No costs deducted from proceeds,0,0,0,0,0,0, ,231.09,Donated, ,231,Charity/Voluntary,5546,, Donated to Alzheimer Research UK.  In addition Also have charity tins in branches and request donations if a plastic bag is issued.
2016-17,Hillier Nurseries Ltd,18193,909.54,181.04,No costs deducted from proceeds,0,0,0,0,0,0, ,728.5,Donated, ,729,Health,867,, 
2016-17,HKS Retail Limited,181246,9062.3,1510.38,No costs deducted from proceeds,0,0,0,0,0,0,,7551.92,Donated,,9578,Charity/Voluntary,,,"HKS Retail have made donations from the HKS Retail company that covers the amount of carrier bags sold.  
"
2016-17,HMV Retail Ltd,3259426,162971.3,27161.88,65000,5000,15000,0,10000,25000,10000, Annual review of carrier bag design and supplier tender.,70809.42,Donated, ,0,  ,,, 
2016-17,Hobbycraft Ltd,1690130,86196.82,14360.78,No costs deducted from proceeds,0,0,0,0,0,0,,71836.04,,,,,,,All proceeds collected have been passed over to Together for Short Lives
2016-17,Hotel Chocolat Retail Ltd,85723,4286.15,714.35,No costs deducted from proceeds,0,0,0,0,0,0, ,3571.8,Retained by your company / organisation, ,0,,,, 
2016-17,House of Fraser Stores Ltd,5141352,257068,42845,No costs deducted from proceeds,0,0,0,0,0,0, ,214223,Donated, ,214223,Charity/Voluntary,,, 
2016-17,House of Lords,10123,506.15,84.36,No costs deducted from proceeds,0,0,0,0,0,0, ,421.79,Donated, ,421.79,"Arts,Charity/Voluntary",,, 
2016-17,Hughes TV and Audio Limited,9585,480,80,No costs deducted from proceeds,0,0,0,0,0,0, ,400,Donated, ,400,Health,,, 
2016-17,Iceland Foods Ltd,100174324,5008716,834786,No costs deducted from proceeds,0,0,0,0,0,0, ,4173930,Donated, ,0,  ,,, 
2016-17,Imperial War Museum,45706,2285.1,380.85,No costs deducted from proceeds,0,0,0,0,0,0, ,1904.25,Retained by your company / organisation, ,0,,,, 
2016-17,ISS Mediclean Ltd,357489,17874,2979,11500,3000,1000,1000,1000,500,5000, Cost of goods,3395,Donated, ,0,  ,,, 
2016-17,J Barbour & Sons,32789,1639.45,273.24,No costs deducted from proceeds,0,0,0,0,0,0, ,1366.21,Donated, ,0,  ,,, 
2016-17,Jarrold & Sons Limited,112433,5621.65,936.94,No costs deducted from proceeds,0,0,0,0,0,0, ,4684.71,Donated, ,4150,Local causes chosen by customers or staff,,, 
2016-17,JD Sports fashion PLC,12181498,609075,101512.5,No costs deducted from proceeds,0,0,0,0,0,0, ,507562,Donated, ,0,  ,,,Details of charitable donations found in jd sports fashion plc's Annual Report & Accounts
2016-17,John Grose Group Ltd,22718,1135.9,189.32,No costs deducted from proceeds,0,0,0,0,0,0,,946.58,Donated,,946.58,Charity/Voluntary,,,
2016-17,John Lewis plc,11262946,563147,93858,No costs deducted from proceeds,0,0,0,0,0,0, ,469289,Donated, ,469289,Local causes chosen by customers or staff,,,
2016-17,"JP McDougall & Co Ltd, T/A Dulux Decoratore Centres",45718,4571.8,762,No costs deducted from proceeds,0,0,0,0,0,0, ,3809.8,Donated, ,0,  ,,, 
2016-17,Keelham Farm Shop Limited,294378,14718.9,2286.48,No costs deducted from proceeds,0,0,0,0,0,0, ,12432.42,Donated, ,0,  ,,33209, 
2016-17,KEW ELECTRICAL DISTRIBUTORS LTD,1473,73.65,0,No costs deducted from proceeds,0,0,0,0,0,0, ,73.65,Donated, ,73,Local causes chosen by customers or staff,1473,, 
2016-17,Kiko UK Ltd,167181,8359.05,1671.81,No costs deducted from proceeds,0,0,0,0,0,0, ,6687.24,Retained by your company / organisation, ,0,,,,"The proceedings will be donated to an organisation, charity or good cause of our choosing. In the process of finding a good cause. "
2016-17,Krispy Kreme UK Ltd,691841,34592,6897,No costs deducted from proceeds,0,0,0,0,0,0, ,27695,Donated, ,0,  ,,,
2016-17,L ROWLANDS & CO (RETAIL) LIMITED,64404,3220.2,536.7,No costs deducted from proceeds,0,0,0,0,0,0, ,2683.8,Donated, ,3220.2,Health,64404,,All of the bags sold are disposable plastic carrier bags
2016-17,Lakeland Limited,277960,13898,2316,No costs deducted from proceeds,0,0,0,0,0,0, ,11582,Donated, ,11582,"Environment,Charity/Voluntary",,, 
2016-17,Lakes and Dales Co-operative,264734,13236,2698,No costs deducted from proceeds,0,0,0,0,0,0, ,10538,Donated, ,0,  ,,,The proceeds from carrier bag sales go to company's community grant scheme and charity of the year initiatives
2016-17,Leeds Beckett University,4417,220.85,36.8,No costs deducted from proceeds,0,0,0,0,0,0, ,184.05,Donated, ,184,Charity/Voluntary,,, Donated to the Alzheimer Society
2016-17,Leonard F Jollyes (B.P) Ltd,228357,11417.85,1902.98,No costs deducted from proceeds,0,0,0,0,0,0, ,9514.87,Donated, ,10000,"Charity/Voluntary,Local causes chosen by customers or staff",,,"The donation was split between three charity organisations, which were chosen by  customers. The charities were Support Dogs, Guide Dogs, Cats Protection"
2016-17,Lidl UK GmbH,53060333,2653017,442169,No costs deducted from proceeds,0,0,0,0,0,0, ,2210848,"Donated,Retained by your company / organisation", ,0,  ,,,A significant proportion of the proceeds from single-use carrier bag sales have been donated to Lidl UK's national charity partners and Keep Britain Tidy.
2016-17,Lincolnshire Cooperative Ltd,3568108,178405,29734,No costs deducted from proceeds,0,0,0,0,0,0, ,148671,Donated, ,148671,Local causes chosen by customers or staff,,441188,"Lincolnshire bag for life -421,876
CP bag for life- 575
CP fairtrade cotton bag- 272
COOP handy shopper- 16
Lincolnshire Fold bag- 9715 
Lincolnshire large shopper- 7633
Lincolnshire wine carrier- 1101
"
2016-17,Lloyds Pharmacy Ltd,848387,42419.35,8483.87,No costs deducted from proceeds,0,0,0,0,0,0, ,33935.48,Donated, ,33935,Charity/Voluntary,,, Paper bags are not counted- predominantly used for prescription medicines. No bags for life sold.  4p per bag donated to charity partner. 
2016-17,Longleat Enterprises Limited,34464,1723.2,287.2,No costs deducted from proceeds,0,0,0,0,0,0, ,1436,Donated, ,1436,Local causes chosen by customers or staff,,,
2016-17,Loros Enterprises Ltd,4609,230.45,38.41,No costs deducted from proceeds,0,0,0,0,0,0, ,192.04,Retained by your company / organisation, ,0,,,," LOROS Enterprises is a subsidiary of LOROS (Charity Ref 506120), any profits from sales are transferred to LOROS at year end."
2016-17,Loughborough Students Union,98350,4917,820,No costs deducted from proceeds,0,0,0,0,0,0, ,4097,Retained by your company / organisation, ,0,,,, 
2016-17,Machine Mart Ltd,14070,703.5,140.7,No costs deducted from proceeds,0,0,0,0,0,0,,562.8,Retained,,0,,,,
2016-17,Mackays Stores Ltd,1728908,86445.4,14407.57,No costs deducted from proceeds,0,0,0,0,0,0, ,72037.83,Donated, ,72038,Charity/Voluntary,1728908,,
2016-17,Majestic Wine Warehouses Ltd,38469,1938.1,387.62,No costs deducted from proceeds,0,0,0,0,0,0, ,1550.48,Donated, ,0,  ,,, 
2016-17,Maplin Electronics Ltd,376832,18841.6,3140.27,No costs deducted from proceeds,0,0,0,0,0,0, ,15701.33,Donated, ,15701,Charity/Voluntary,,, 
2016-17,Marie Curie,283213,19362.8,3211.61,No costs deducted from proceeds,0,0,0,0,0,0, ,16151.19,Retained by your company / organisation, ,0,,,20374, 
2016-17,Marks and Spencer Group plc,92503288,4625164,770861,No costs deducted from proceeds,0,0,0,0,0,0, ,3854303,Donated, ,3854303,"Environment,Health,Charity/Voluntary",,," Donated to a range of M&S charity partnerships on health, environment and international poverty. Data from tillpoint scanning."
2016-17,Max Spielman Ltd,181077,9053.85,1508.98,No costs deducted from proceeds,0,0,0,0,0,0,,7544.87,Donated,,7544.87,Charity/Voluntary,,,
2016-17,MCCH,564,35.27,7.05,No costs deducted from proceeds,0,0,0,0,0,0, ,28.22,Donated, ,28,Charity/Voluntary,,33,"As we operate charity shops, some people donated more than 5p per bag - although 5p was the minimum charge"
2016-17,McColls Retail Group,9359895,467994.75,77999.13,No costs deducted from proceeds,0,0,0,0,0,0, ,389995.62,Donated, ,0,  ,,, 
2016-17,Menkind Limited,543470,27043.88,4489.54,No costs deducted from proceeds,0,0,0,0,0,0, ,22554.34,Donated, ,0,  ,,, 
2016-17,Mercedes-Benz Retail Group UK Limited,577,28.85,5.77,No costs deducted from proceeds,0,0,0,0,0,0, ,23.08,Donated, ,23,Health,,, Proceeds donated to Alzheimers Society
2016-17,Mercedes-Benz Cars UK Limited,40,2,0,No costs deducted from proceeds,0,0,0,0,0,0, ,2,Donated, Donated to charity we support.,2,Health,,,
2016-17,Merlin Entertainments Group,489618,24481,4080.2,No costs deducted from proceeds,0,0,0,0,0,0, ,20400.8,Donated, ,20401,"Education,Environment,Charity/Voluntary",,, 
2016-17,Merseytravel (Liverpool City Region Combined Authority),316,15.8,2.63,No costs deducted from proceeds,0,0,0,0,0,0, ,13.17,Retained by your company / organisation, ,0,,,, 
2016-17,Michael Abakhan Limited,12869,643,107,No costs deducted from proceeds,0,0,0,0,0,0,,536,Donated,,536,Charity/Voluntary,,,
